dni;nombres;apellido_paterno;apellido_materno;organizacion_key;organizacion_nombre;circunscripcion_electoral;categoria_id
64818643;Gloria Mercedes;Campos;Zavala;01;PARTIDO POLÍTICO AMANECER DE NUEVO;UNICO NACIONAL;A
95694511;Laura Angélica;Delgado;Guzmán;01;PARTIDO POLÍTICO AMANECER DE NUEVO;UNICO NACIONAL;A
62231101;Julio César;Peña;Galván;02;PARTIDO POLÍTICO PAZ Y AMOR;UNICO NACIONAL;A
93540273;Marco Antonio;Sandoval;Villa;02;PARTIDO POLÍTICO PAZ Y AMOR;UNICO NACIONAL;A
30307806;Héctor Manuel;Sánchez;Rangel;03;PARTIDO POLÍTICO GOTAS DE LLUVIA;UNICO NACIONAL;A
40746417;Amparo Luz;Rivera;Villa;03;PARTIDO POLÍTICO GOTAS DE LLUVIA;UNICO NACIONAL;A
59705145;Pedro Pablo;Herrera;Andrade;04;PARTIDO POLÍTICO LA MAGIA DEL ENCUENTRO;UNICO NACIONAL;A
57891623;Mercedes Beatriz;Vásquez;Figueroa;04;PARTIDO POLÍTICO LA MAGIA DEL ENCUENTRO;UNICO NACIONAL;A
58287444;Óscar Eduardo;Torres;Franco;05;PARTIDO POLÍTICO EN LA DISTANCIA;UNICO NACIONAL;A
49481313;Alberto Raúl;León;Téllez;05;PARTIDO POLÍTICO EN LA DISTANCIA;UNICO NACIONAL;A
94158542;Héctor Manuel;Zamora;Andrade;06;PARTIDO POLÍTICO AL OTRO LADO;UNICO NACIONAL;A
47413326;Mauricio Andrés;Chávez;Téllez;06;PARTIDO POLÍTICO AL OTRO LADO;UNICO NACIONAL;A
76701743;Gustavo Adolfo;Sandoval;Miranda;07;PARTIDO POLÍTICO EL TRABAJO DIGNIFICA;UNICO NACIONAL;A
93575435;Patricia Elena;Navarro;Valdés;07;PARTIDO POLÍTICO EL TRABAJO DIGNIFICA;UNICO NACIONAL;A
93933166;Víctor Hugo;Medina;Escobar;08;PARTIDO POLÍTICO HOJAS AL VIENTO;UNICO NACIONAL;A
93868432;Pablo César;Silva;Delgado;08;PARTIDO POLÍTICO HOJAS AL VIENTO;UNICO NACIONAL;A
27263798;Hugo Alberto;Navarro;Guzmán;09;PARTIDO POLÍTICO SEMBRANDO LA AMISTAD;UNICO NACIONAL;A
41379063;Lorenzo Manuel;Guzmán;Franco;09;PARTIDO POLÍTICO SEMBRANDO LA AMISTAD;UNICO NACIONAL;A
53375502;Raúl Alberto;Gallegos;Olivares;10;PARTIDO POLÍTICO ESTAMOS EN ARMONÍA;UNICO NACIONAL;A
98019779;Dora Inés;Fuentes;Fernández;10;PARTIDO POLÍTICO ESTAMOS EN ARMONÍA;UNICO NACIONAL;A
21824680;Carlos Alberto;Valdez;Chávez;11;PARTIDO POLÍTICO ALCANZAR EL INFINITO;UNICO NACIONAL;A
52734319;Verónica Luz;Navarro;Salas;11;PARTIDO POLÍTICO ALCANZAR EL INFINITO;UNICO NACIONAL;A
46955243;Lucía Isabel;Domínguez;Vidal;12;PARTIDO POLÍTICO EL MEJOR AMIGO;UNICO NACIONAL;A
54936226;Silvia Rocío;Molina;Mejía;12;PARTIDO POLÍTICO EL MEJOR AMIGO;UNICO NACIONAL;A
90127484;Luz Marina;Flores;Vega;13;PARTIDO POLÍTICO PIENSA POSITIVAMENTE;UNICO NACIONAL;A
27592644;Esteban José;Castillo;Robles;13;PARTIDO POLÍTICO PIENSA POSITIVAMENTE;UNICO NACIONAL;A
90066544;María Elena;Morales;Alvarado;14;PARTIDO POLÍTICO LIDERANDO EL FUTURO;UNICO NACIONAL;A
10366501;Silvia Rocío;Valdez;Villa;14;PARTIDO POLÍTICO LIDERANDO EL FUTURO;UNICO NACIONAL;A
82720554;Ricardo Manuel;Jiménez;Ibáñez;15;PARTIDO POLÍTICO NIÑOS PRIMERO;UNICO NACIONAL;A
87134538;Rosa María;Cabrera;Padilla;15;PARTIDO POLÍTICO NIÑOS PRIMERO;UNICO NACIONAL;A
28294399;Laura Angélica;Fernández;Molina;16;PARTIDO POLÍTICO FELICES POR SIEMPRE;UNICO NACIONAL;A
23247236;Josefa María;Torres;Segura;16;PARTIDO POLÍTICO FELICES POR SIEMPRE;UNICO NACIONAL;A
68609608;Diana Carolina;Pérez;Córdova;17;PARTIDO POLÍTICO SALVEMOS AL PLANETA;UNICO NACIONAL;A
13354596;Tomás Alberto;Silva;Salinas;17;PARTIDO POLÍTICO SALVEMOS AL PLANETA;UNICO NACIONAL;A
52177765;Ernesto José;Martínez;Durán;18;PARTIDO POLÍTICO LOS CAMPEONES;UNICO NACIONAL;A
28393026;Sara Luz;Álvarez;Miranda;18;PARTIDO POLÍTICO LOS CAMPEONES;UNICO NACIONAL;A
64024951;Tomás Alberto;García;Muñoz;19;PARTIDO POLÍTICO ORDENANDO LA CASA;UNICO NACIONAL;A
23326293;Alberto Raúl;Luna;Castro;19;PARTIDO POLÍTICO ORDENANDO LA CASA;UNICO NACIONAL;A
16066854;Sara Luz;Martínez;Arellano;20;PARTIDO POLÍTICO COLECCIONISTA DE OBJETOS;UNICO NACIONAL;A
93200220;Raúl Alberto;Romero;Guzmán;20;PARTIDO POLÍTICO COLECCIONISTA DE OBJETOS;UNICO NACIONAL;A
55381857;Alicia Rosa;Chávez;Salinas;21;PARTIDO POLÍTICO OPTIMISMO TOTAL;UNICO NACIONAL;A
25889519;Óscar Eduardo;Chávez;Bustamante;21;PARTIDO POLÍTICO OPTIMISMO TOTAL;UNICO NACIONAL;A
32817598;Bertha Rosa;Ortiz;Navarro;22;PARTIDO POLÍTICO BUEN VIAJE;UNICO NACIONAL;A
80446344;Omar Alejandro;Cruz;Suárez;22;PARTIDO POLÍTICO BUEN VIAJE;UNICO NACIONAL;A
59818428;Elena Isabel;Jiménez;Nava;23;PARTIDO POLÍTICO VISTA ALEGRE;UNICO NACIONAL;A
66274081;Alfredo José;Campos;Cardona;23;PARTIDO POLÍTICO VISTA ALEGRE;UNICO NACIONAL;A
57970526;Gloria Mercedes;García;Suárez;24;PARTIDO POLÍTICO EL MAPA DE LOS SUEÑOS;UNICO NACIONAL;A
